service_number,timestamp,customer_name,customer_email,bug_description,device_info,priority
SR-20251114-55265AA6,2025-11-14 00:31:40,Arreyan Hamid,hamidarreyan@gmail.com,The UI is a little buggy,Windows,medium
SR-20251114-E7C68407,2025-11-14 00:32:50,Muskan,muskan@gmail.com,I am unable to add two numbers,Windows,high
SR-20251114-FE59FAB2,2025-11-14 00:34:10,asljf,szdjhgf,"I am unable to add two numbers as the program intends to do, otherwise everything else is fine",Windows,high
SR-20251114-13F2263C,2025-11-14 00:36:28,jhfsdhj,oasdfjh,unable to add two numbers as the programs says it will do,windows,high
SR-20251114-EA6ACCAF,2025-11-14 00:51:50,ksdanfn,sajdfn,i am unable to add two numbers,windows,high
SR-20251114-5397113C,2025-11-14 00:57:30,jksdfgjn,sjnhfgd,I am unable to add two numbers,Windows,high
SR-20251114-39D20C3F,2025-11-14 01:00:29,sdfa,sdfas,unable to add two numbers,windows,high
SR-20251114-63E911A1,2025-11-14 01:02:55,asd,sdfsd,i am unable to add two numbers,Windows,high
SR-20251114-02F872E9,2025-11-14 01:08:12,askdfhb,asdjfh,"i am unable to add two numbers, it returns the differnce instead",WIndows,high
SR-20251114-08A05761,2025-11-14 01:17:58,Arreyan Hamid,hamidarreyan@gmailc.om,"I am unable to add two numbers, it returns the difference instead",Windows,high
SR-20251114-B5CE4965,2025-11-14 11:37:41,Surya,surya@surya.com,"I am unable to add two numbers, it returns the difference instead",Linux,high
SR-20251114-9CBE35E2,2025-11-14 13:17:04,Prakash Sir,prakash@gmail.com,"I am unable to add two numbers, its returning the difference instead",Linux,high
SR-20251114-6A2BF894,2025-11-14 13:47:25,Arreyan,a@gmail.com,"In the delete() method, when trying to delete the head node (first element), the code fails to properly update the self.head pointer. Instead of setting self.head = self.head.next, it incorrectly does current.next = current.next, which doesn't actually change anything and leaves the deleted node as the head of the list.",Linux,
SR-20251114-586E414C,2025-11-14 13:48:25,Arreyan,ksdjhfjsdf,"In the delete() method, when trying to delete the head node (first element), the code fails to properly update the self.head pointer. Instead of setting self.head = self.head.next, it incorrectly does current.next = current.next, which doesn't actually change anything and leaves the deleted node as the head of the list.",sdjkhfhsakd,high
